Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors
K.V.O. programmas 1893-97_00167-20211201_120433.jpg,1893-1897,Ondine,1894-12-22,,False,591669,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00169-20211201_120453.jpg,1893-1897,Ondine,1894-12-25,,False,512471,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00171-20211201_120547.jpg,1893-1897,Czaar en Timmerman,1894-12-29,,False,700395,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00173-20211201_120608.jpg,1893-1897,Ondine,1895-01-02,,False,359540,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00175-20211201_120633.jpg,1893-1897,De Vliegende Hollander,1895-01-02,Volgens de nota van Verbruggen is deze voorstelling afgelast,False,257784,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00177-20211201_120703.jpg,1893-1897,De Vliegende Hollander,1895-01-05,,False,105270,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00179-20211201_120722.jpg,1893-1897,Ondine,1895-08-01,,False,966517,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00181-20211201_120753.jpg,1893-1897,Ondine,1895-01-12,,False,828688,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00183-20211201_120821.jpg,1893-1897,Ondine,1895-01-15,,False,104358,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00183-20211201_120821.jpg,1893-1897,Ondine,1895-01-19,,False,888275,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00185-20211201_120840.jpg,1893-1897,Czaar en Timmerman,1895-01-22,Feestavond,False,702840,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00187-20211201_121011.jpg,1893-1897,Tannhauser,1895-01-26,,False,322546,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00193-20211201_121111.jpg,1893-1897,Tannhauser,1895-01-29,,False,150225,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00195-20211201_121132.jpg,1893-1897,Tannhauser,1895-02-02,Volgens de nota van Verbruggen is deze voorstelling vervangen door De Vliegende Hollander,False,579506,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00197-20211201_121200.jpg,1893-1897,Ondine,1895-02-05,,False,474312,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00199-20211201_121247.jpg,1893-1897,Tannhauser,1895-02-09,,False,863888,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00203-20211201_121340.jpg,1893-1897,Ondine,1895-02-12,,False,833967,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00205-20211201_121359.jpg,1893-1897,Tannhauser,1895-02-16,,False,330426,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00207-20211201_121435.jpg,1893-1897,Zriny,1895-02-19,Eerste vertoning,False,622373,Zriny,NL,Albert De Vleeshouwer,?,?,lyrisch treurspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00211-20211201_121513.jpg,1893-1897,Ondine,1895-02-26,,False,212311,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00213-20211201_121634.jpg,1893-1897,Zriny,1895-03-02,,False,377576,Zriny,NL,Albert De Vleeshouwer,?,?,lyrisch treurspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00215-20211201_121653.jpg,1893-1897,De Vrijschutter,1895-03-05,Feestavond,True,690576,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00215-20211201_121653.jpg,1893-1897,Euryanthe,1895-03-05,Feestavond,True,690576,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00215-20211201_121653.jpg,1893-1897,Ondine,1895-03-05,Feestavond,True,690576,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
