,Date,Original premiere,Directors,Normalised title,Composer,Multiple bill,Multiple bill,Season,Occasion,Language,Dutch,German
152,1896-01-12,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,BedÅich	Smetana,False,False,1895-1896,N,other,False,False
153,1896-01-14,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1895-1896,N,German,False,True
154,1896-01-18,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,False,1895-1896,N,German,False,True
155,1896-01-21,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1895-1896,N,German,False,True
156,1896-01-25,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,BedÅich	Smetana,False,False,1895-1896,N,other,False,False
157,1896-01-28,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1895-1896,N,German,False,True
158,1896-02-01,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1895-1896,G,other,False,False
159,1896-02-04,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1895-1896,N,other,False,False
160,1896-02-08,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1895-1896,N,German,False,True
161,1896-02-11,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,False,1895-1896,N,other,False,False
162,1896-02-13,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1895-1896,N,German,False,True
163,1896-02-16,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1895-1896,N,German,False,True
164,1896-02-18,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,BedÅich	Smetana,False,False,1895-1896,N,other,False,False
165,1896-02-20,1890,Edward Keurvels & Henry Fontaine,Pelops,Fibich ZdenÄk,False,False,1895-1896,G,other,False,False
166,1896-02-22,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1895-1896,G,German,False,True
167,1896-02-25,1833,Edward Keurvels & Henry Fontaine,Hans Heiling,Heinrich Marschner,False,False,1895-1896,N,German,False,True
